region,species,year,abundance.all,abundance.hatch,abundance.nat
ak.kod,pink,1960,9.047576941,0,9.047576941
ak.kod,pink,1961,5.797796468,0,5.797796468
ak.kod,pink,1962,16.85861251,0,16.85861251
ak.kod,pink,1963,7.62329799,0,7.62329799
ak.kod,pink,1964,14.73569944,0,14.73569944
ak.kod,pink,1965,4.519835856,0,4.519835856
ak.kod,pink,1966,13.39085223,0,13.39085223
ak.kod,pink,1967,0.632471001,0,0.632471001
ak.kod,pink,1968,11.898322,0,11.898322
ak.kod,pink,1969,14.306542,0,14.306542
ak.kod,pink,1970,15.854998,0,15.854998
ak.kod,pink,1971,5.533292,0,5.533292
ak.kod,pink,1972,3.743464,0,3.743464
ak.kod,pink,1973,1.210929,0,1.210929
ak.kod,pink,1974,4.953498,0,4.953498
ak.kod,pink,1975,4.163801,0,4.163801
ak.kod,pink,1976,14.518734,0,14.518734
ak.kod,pink,1977,8.82340577,0.12857577,8.69483
ak.kod,pink,1978,20.57539246,0.190562462,20.38483
ak.kod,pink,1979,14.71884616,0.678904156,14.039942
ak.kod,pink,1980,24.50890715,0.681793154,23.827114
ak.kod,pink,1981,13.93627987,0.884108872,13.052171
ak.kod,pink,1982,14.10615483,1.03734783,13.068807
ak.kod,pink,1983,7.025601914,1.906663914,5.118938
ak.kod,pink,1984,16.02793449,2.84964649,13.178288
ak.kod,pink,1985,11.08187428,3.427384284,7.65449
ak.kod,pink,1986,16.5300104,2.956705402,13.573305
ak.kod,pink,1987,8.048683078,3.893199078,4.155484
ak.kod,pink,1988,19.499155,0.746047,18.753108
ak.kod,pink,1989,23.28558818,3.707153183,19.578435
ak.kod,pink,1990,12.720601,0.810295,11.910306
ak.kod,pink,1991,21.61743067,3.342432672,18.274998
ak.kod,pink,1992,7.272448,1.0174,6.255048
ak.kod,pink,1993,39.472219,12.873,26.599219
ak.kod,pink,1994,12.729679,2.368447,10.361232
ak.kod,pink,1995,54.760192,4.767682,49.99251
ak.kod,pink,1996,7.27344,1.267179,6.006261
ak.kod,pink,1997,14.722268,1.483755,13.238513
ak.kod,pink,1998,30.289826,6.6603,23.629526
ak.kod,pink,1999,16.670626,4.537317,12.133309
ak.kod,pink,2000,15.146145,3.962534,11.183611
ak.kod,pink,2001,23.673106,13.604054,10.069052
ak.kod,pink,2002,28.016878,7.07316,20.943718
ak.kod,pink,2003,20.090521,6.951906,13.138615
ak.kod,pink,2004,31.19367598,4.329943,26.86373298
ak.kod,pink,2005,34.48464888,14.013561,20.47108788
ak.kod,pink,2006,38.41915,4.491048,33.928102
ak.kod,pink,2007,28.00835,8.223226,19.785124
ak.kod,pink,2008,12.6706,2.482678,10.187922
ak.kod,pink,2009,33.5434,9.267773,24.275627
ak.kod,pink,2010,13.232,3.566653,9.665347
ak.kod,pink,2011,19.766402,2.527304,17.239098
ak.kod,pink,2012,22.397171,3.226802,19.170369
ak.kod,pink,2013,33.238703,12.395,20.843703
