species,stat.area,year,escapement,cdn.harvest,noncdn.harvest,total.harvest,total.run
chum,3,2000,39338.22372,13841.6277,7350.192347,21191.82004,60530.04377
chum,3,2001,54621.65177,7006.301949,11781.65473,18787.95668,73409.60845
chum,3,2002,34992.15596,6781.020829,5568.328196,12349.34902,47341.50498
chum,3,2003,78765.23369,12167.5323,15561.18926,27728.72156,106493.9552
chum,3,2004,99467.62701,11774.07212,19094.2108,30868.28292,130335.9099
chum,3,2005,56889.23297,4440.727711,10207.04199,14647.7697,71537.00266
chum,3,2006,83063.87036,11696.54811,6538.442501,18234.99061,101298.861
chum,3,2007,33763.22677,2635.829635,6107.693224,8743.522859,42506.74963
chum,3,2008,28654.07201,1604.493967,3653.975363,5258.46933,33912.54134
chum,3,2009,38704.25172,2551.171312,6547.622357,9098.793669,47803.04539
chum,3,2010,19502.30888,607.2472638,3011.330552,3618.577816,23120.88669
chum,3,2011,19202.81197,1333.954697,1903.729381,3237.684078,22440.49605
chum,3,2012,34379.14922,915.1964195,5799.368669,6714.565089,41093.71431
chum,3,2013,28618.87807,1421.017724,4771.436641,6192.454365,34811.33244
chum,3,2014,38713.38426,794.0664639,7230.836022,8024.902486,46738.28675
chum,3,2015,120304.3179,13307.8139,19499.41507,32807.22897,153111.5468
chum,3,2016,32738.98647,284.2541049,5153.997665,5438.25177,38177.23824
chum,3,2017,,,,,
chum,4,1954,43396.24681,36199.02524,17954.35749,54153.38273,97549.62954
chum,4,1955,3690.943715,2197.087432,1328.16703,3525.254463,7216.198178
chum,4,1956,248533.2077,208552.4273,103105.1051,311657.5324,560190.7401
chum,4,1957,7305.098977,5784.980665,2952.737812,8737.718477,16042.81745
chum,4,1958,7477.582705,4840.145213,2778.517929,7618.663141,15096.24585
chum,4,1959,80123.95853,42060.09441,27561.1366,69621.23101,149745.1895
chum,4,1960,10445.45293,4847.428184,3449.625177,8297.053361,18742.50629
chum,4,1961,73381.35457,43456.36482,26355.16065,69811.52547,143192.88
chum,4,1962,15840.47204,6338.828067,5002.999206,11341.82727,27182.29931
chum,4,1963,8682.395817,2728.734104,2574.016027,5302.750131,13985.14595
chum,4,1964,9544.886637,4360.609668,3136.67188,7497.281548,17042.16819
chum,4,1965,8913.454715,4250.569244,2969.417479,7219.986723,16133.44144
chum,4,1966,30276.40102,16233.33045,10491.23049,26724.56095,57000.96196
chum,4,1967,24670.42658,22242.20368,10582.11264,32824.31632,57494.7429
chum,4,1968,17678.31596,10295.80244,6310.140152,16605.94259,34284.25855
chum,4,1969,17020.16051,8402.473998,5734.600265,14137.07426,31157.23478
chum,4,1970,18381.4308,7195.166852,5769.329831,12964.49668,31345.92748
chum,4,1971,6593.630189,3371.897347,2247.930553,5619.8279,12213.45809
chum,4,1972,52922.17347,26751.57874,17972.06031,44723.63905,97645.81252
chum,4,1973,35753.70485,16804.17397,11855.51504,28659.68901,64413.39386
chum,4,1974,16242.85125,12044.33108,6380.758187,18425.08927,34667.94052
chum,4,1975,12984.40692,5422.879308,4152.143574,9575.022882,22559.42981
chum,4,1976,13961.06417,3387.035213,3913.222104,7300.257317,21261.32148
chum,4,1977,14169.29577,12627.861,6044.652148,18672.51315,32841.80891
chum,4,1978,9851.254258,4853.928343,3317.057641,8170.985984,18022.24024
chum,4,1979,7330.52997,4118.461962,2582.556585,6701.018547,14031.54852
chum,4,1980,39712.73577,18091.42992,13038.92339,31130.35331,70843.08908
chum,4,1981,18159.35178,14538.44618,7375.663634,21914.10981,40073.46159
chum,4,1982,9486.825781,3128.477175,1335.180147,4463.657322,13950.4831
chum,4,1983,2369.790352,1177.559849,1275.898147,2453.457995,4823.248347
chum,4,1984,54342.33856,20617.13402,18269.0644,38886.19842,93228.53698
chum,4,1985,23251.25975,11792.4795,6549.421813,18341.90132,41593.16106
chum,4,1986,16307.36161,8588.845592,6487.442669,15076.28826,31383.64987
chum,4,1987,8606.293953,4394.686504,1114.664412,5509.350916,14115.64487
chum,4,1988,163272.378,111389.0685,42570.2106,153959.2791,317231.657
chum,4,1989,33726.98377,12312.5793,14308.0599,26620.6392,60347.62297
chum,4,1990,8810.222589,4858.914456,2480.330157,7339.244613,16149.4672
chum,4,1991,15166.63056,8790.611439,10504.99092,19295.60236,34462.23292
chum,4,1992,8839.864703,8060.412776,3270.465622,11330.8784,20170.7431
chum,4,1993,16587.50881,8881.318745,6400.410573,15281.72932,31869.23813
chum,4,1994,14787.82321,5004.406736,5669.278954,10673.68569,25461.5089
chum,4,1995,14377.03416,6864.624209,4108.6131,10973.23731,25350.27146
chum,4,1996,15263.28969,6248.401355,4858.122006,11106.52336,26369.81305
chum,4,1997,41654.00992,7472.053887,7081.219627,14553.27351,56207.28343
chum,4,1998,27525.61618,724.4739834,4768.395395,5492.869379,33018.48556
chum,4,1999,6161.805453,124.9775213,929.7541113,1054.731633,7216.537086
chum,4,2000,9986.80698,2081.628904,1456.546872,3538.175777,13524.98276
chum,4,2001,18470.22366,2492.287921,3738.685025,6230.972946,24701.19661
chum,4,2002,7551.830906,1138.065819,1005.522965,2143.588784,9695.41969
chum,4,2003,41267.01255,2975.077513,6885.063495,9860.141008,51127.15356
chum,4,2004,46778.54397,4783.027174,8053.65838,12836.68555,59615.22952
chum,4,2005,48554.43912,197.0246668,7335.053932,7532.078599,56086.51772
chum,4,2006,16255.35841,2867.702757,1063.260166,3930.962923,20186.32134
chum,4,2007,10245.21868,861.3098857,1687.713857,2549.023742,12794.24243
chum,4,2008,4539.020936,505.1661107,520.9118453,1026.077956,5565.098892
chum,4,2009,10129.92691,69.52468094,1449.418185,1518.942866,11648.86977
chum,4,2010,3168.77136,39.25901342,425.4138178,464.6728312,3633.444191
chum,4,2011,7345.309028,799.6999783,624.9309527,1424.630931,8769.939959
chum,4,2012,5272.558758,81.56568989,793.2413551,874.807045,6147.365803
chum,4,2013,2411.723129,0.974003631,343.1913716,344.1653752,2755.888505
chum,4,2014,2693.040282,78.57385712,468.3209799,546.894837,3239.935119
chum,4,2015,2461.473124,27.84526852,320.2228681,348.0681366,2809.54126
chum,4,2016,5189.082658,193.4255384,749.7325968,943.1581352,6132.240793
chum,4,2017,,,,,
chum,5,1954,47375.71051,13943.68129,13831.85525,27775.53654,75151.24705
chum,5,1955,18051.51671,4140.397178,5005.844504,9146.241682,27197.75839
chum,5,1956,14852.51375,4389.803114,4340.501978,8730.305091,23582.81884
chum,5,1957,112726.771,31974.33093,32640.32204,64614.65297,177341.424
chum,5,1958,36026.86668,8808.917909,10113.6372,18922.55511,54949.42179
chum,5,1959,8073.674139,1678.527183,2199.810419,3878.337602,11952.01174
chum,5,1960,19270.1845,3629.249482,5165.440275,8794.689757,28064.87426
chum,5,1961,37169.36773,8491.501776,10299.75215,18791.25392,55960.62166
chum,5,1962,49279.87894,8216.16391,12969.41993,21185.58384,70465.46278
chum,5,1963,41053.87133,5575.183781,10518.14641,16093.33019,57147.20152
chum,5,1964,33818.0313,6288.478726,9046.851652,15335.33038,49153.36168
chum,5,1965,27572.35885,5308.496602,7416.956033,12725.45263,40297.81149
chum,5,1966,29324.19381,6199.417953,8013.084298,14212.50225,43536.69606
chum,5,1967,24318.59273,7556.244685,7190.027888,14746.27257,39064.86531
chum,5,1968,18127.68344,4088.260574,5011.264997,9099.525571,27227.20901
chum,5,1969,4824.28745,955.0725826,1303.654016,2258.726599,7083.014049
chum,5,1970,25201.20787,4125.000641,6615.132001,10740.13264,35941.34051
chum,5,1971,41976.00568,8547.462652,11396.61174,19944.07439,61920.08007
chum,5,1972,19973.71274,4029.749379,5414.476622,9444.226001,29417.93874
chum,5,1973,15682.48539,2984.106975,4210.635428,7194.742403,22877.2278
chum,5,1974,22188.18643,6001.384729,6358.739971,12360.1247,34548.31113
chum,5,1975,21246.9217,3670.381572,5620.612368,9290.99394,30537.91564
chum,5,1976,23461.35106,2538.056377,5864.703311,8402.759687,31864.11075
chum,5,1977,43651.64837,13455.56947,12881.71241,26337.28188,69988.93025
chum,5,1978,20957.05555,4142.459532,5661.714006,9804.173538,30761.22909
chum,5,1979,45287.45035,9931.809904,12455.84459,22387.65449,67675.10485
chum,5,1980,18262.52542,3388.081387,4883.741513,8271.8229,26534.34832
chum,5,1981,6143.565326,1756.250484,1781.96661,3538.217094,9681.78242
chum,5,1982,30672.71431,5714.203729,3851.12357,9565.327299,40238.04161
chum,5,1983,20879.17941,7695.969812,10277.80678,17973.77659,38852.956
chum,5,1984,11526.88648,3240.533977,3599.104237,6839.638214,18366.5247
chum,5,1985,21573.11078,6692.740461,5282.683488,11975.42395,33548.53473
chum,5,1986,29738.38409,11860.49839,10839.81841,22700.3168,52438.70088
chum,5,1987,22158.33757,7615.144018,2552.687503,10167.83152,32326.16909
chum,5,1988,36552.79852,15253.5822,8029.552623,23283.13482,59835.93335
chum,5,1989,11609.72053,2799.152181,4477.953311,7277.105492,18886.82602
chum,5,1990,8644.057102,3352.229552,2176.783469,5529.013021,14173.07012
chum,5,1991,11772.40942,3985.253505,6909.56438,10894.81789,22667.2273
chum,5,1992,1010.949938,568.6803917,305.6829507,874.3633424,1885.31328
chum,5,1993,4568.63132,1680.276786,1570.373721,3250.650507,7819.281827
chum,5,1994,2826.951762,589.6157287,978.6403161,1568.256045,4395.207807
chum,5,1995,12268.6772,3473.029393,3044.799083,6517.828476,18786.50567
chum,5,1996,8736.015157,2025.711499,2430.389177,4456.100677,13192.11583
chum,5,1997,9140.092488,916.8160378,1449.641443,2366.457481,11506.54997
chum,5,1998,27740.67971,303.4647597,4733.633364,5037.098124,32777.77783
chum,5,1999,5154.837207,86.3712988,775.1238076,861.4951064,6016.332313
chum,5,2000,5809.309533,704.4763395,786.1527815,1490.629121,7299.938654
chum,5,2001,9586.68728,680.1630722,1831.103087,2511.266159,12097.95344
chum,5,2002,13732.40277,1053.269349,1710.875669,2764.145018,16496.54779
chum,5,2003,12702.94782,513.8769669,2056.834968,2570.711935,15273.65976
chum,5,2004,9207.241635,701.8128455,1547.744529,2249.557375,11456.79901
chum,5,2005,8675.398955,22.0796393,1308.606339,1330.685978,10006.08493
chum,5,2006,8548.198998,1029.74819,532.5428616,1562.291051,10110.49005
chum,5,2007,8277.634667,408.5129457,1319.920225,1728.433171,10006.06784
chum,5,2008,7195.782764,445.0778668,789.0696309,1234.147498,8429.930261
chum,5,2009,12279.02621,67.83219517,1754.580719,1822.412914,14101.43913
chum,5,2010,8056.648247,53.27343323,1075.448903,1128.722336,9185.370583
chum,5,2011,2812.864335,224.9312459,233.0767817,458.0080277,3270.872363
chum,5,2012,3446.836369,29.46506825,515.0321195,544.4971878,3991.333557
chum,5,2013,4248.851654,0,604.3730922,604.3730922,4853.224746
chum,5,2014,6977.522466,119.5704102,1199.199212,1318.769622,8296.292088
chum,5,2015,11358.63989,154.9081446,1481.088713,1635.996857,12994.63675
chum,5,2016,3440.409951,86.76021369,491.3015179,578.0617316,4018.471682
chum,5,2017,,,,,
chum,6,1954,272704.2848,308940,0,308940,581644.2848
chum,6,1955,107620.3919,43728,0,43728,151348.3919
chum,6,1956,87151.41544,114087,0,114087,201238.4154
chum,6,1957,237049.1703,251254,0,251254,488303.1703
chum,6,1958,277109.8918,313330,0,313330,590439.8918
chum,6,1959,33403.48925,24121,0,24121,57524.48925
chum,6,1960,215171.1273,124603,0,124603,339774.1273
chum,6,1961,110954.638,117460,0,117460,228414.638
chum,6,1962,321115.8381,185025,0,185025,506140.8381
chum,6,1963,218760.021,161597,0,161597,380357.021
chum,6,1964,388415.0393,223760,0,223760,612175.0393
chum,6,1965,183625.1801,162100,0,162100,345725.1801
chum,6,1966,528211.1771,245544,0,245544,773755.1771
chum,6,1967,448980.5778,72428,0,72428,521408.5778
chum,6,1968,780399.0561,354370,0,354370,1134769.056
chum,6,1969,102144.2953,59878,0,59878,162022.2953
chum,6,1970,129003.3784,276521,0,276521,405524.3784
chum,6,1971,109205.8576,66741,0,66741,175946.8576
chum,6,1972,391924.2984,473685,0,473685,865609.2984
chum,6,1973,448209.5938,163091,0,163091,611300.5938
chum,6,1974,364436.8906,166659,0,166659,531095.8906
chum,6,1975,136929.0145,16874,0,16874,153803.0145
chum,6,1976,104855.6109,13942,0,13942,118797.6109
chum,6,1977,123047.1237,55439,0,55439,178486.1237
chum,6,1978,328451.6278,219113,0,219113,547564.6278
chum,6,1979,130363.4502,89036,0,89036,219399.4502
chum,6,1980,142153.9827,201486,0,201486,343639.9827
chum,6,1981,130168.3078,96521,0,96521,226689.3078
chum,6,1982,212869.4265,142743,0,142743,355612.4265
chum,6,1983,69713.86057,82877,0,82877,152590.8606
chum,6,1984,172650.4379,31757,0,31757,204407.4379
chum,6,1985,354396.133,167622,0,167622,522018.133
chum,6,1986,501064.679,231752,0,231752,732816.679
chum,6,1987,175227.382,116628,0,116628,291855.382
chum,6,1988,636788.0316,717856,0,717856,1354644.032
chum,6,1989,408967.2338,15147,0,15147,424114.2338
chum,6,1990,343771.4517,154219,0,154219,497990.4517
chum,6,1991,146196.5157,51541,0,51541,197737.5157
chum,6,1992,105368.5777,43458,0,43458,148826.5777
chum,6,1993,130635.2427,11738,0,11738,142373.2427
chum,6,1994,245720.2907,75494,0,75494,321214.2907
chum,6,1995,360695.6132,29889,0,29889,390584.6132
chum,6,1996,158977.3794,29783,0,29783,188760.3794
chum,6,1997,110542.2255,11919,0,11919,122461.2255
chum,6,1998,739349.514,425446,0,425446,1164795.514
chum,6,1999,123736.4853,37124,0,37124,160860.4853
chum,6,2000,71532.10748,15515,0,15515,87047.10748
chum,6,2001,111784.9989,56361,0,56361,168145.9989
chum,6,2002,342623.2506,202842,0,202842,545465.2506
chum,6,2003,315888.3257,384675,0,384675,700563.3257
chum,6,2004,206789.0592,165062,0,165062,371851.0592
chum,6,2005,92955.64623,233160,0,233160,326115.6462
chum,6,2006,186171.3804,46282,0,46282,232453.3804
chum,6,2007,60696.4056,14257,0,14257,74953.4056
chum,6,2008,27399.70787,3042,0,3042,30441.70787
chum,6,2009,88739.02847,29687,0,29687,118426.0285
chum,6,2010,41907.324,1612,0,1612,43519.324
chum,6,2011,264143.1814,18383,0,18383,282526.1814
chum,6,2012,308828.8661,14786,0,14786,323614.8661
chum,6,2013,66230.68656,0,0,0,66230.68656
chum,6,2014,69029.4371,0,0,0,69029.4371
chum,6,2015,498821.5215,110215,0,110215,609036.5215
chum,6,2016,250430.8153,28110,0,28110,278540.8153
chum,6,2017,,,,,
chum,7,1954,468449.4618,366998,0,366998,835447.4618
chum,7,1955,338157.7278,186120,0,186120,524277.7278
chum,7,1956,232046.4816,212320,0,212320,444366.4816
chum,7,1957,290327.1525,464597,0,464597,754924.1525
chum,7,1958,489675.4789,268603,0,268603,758278.4789
chum,7,1959,231390.369,70584,0,70584,301974.369
chum,7,1960,196234.6449,124908,0,124908,321142.6449
chum,7,1961,133817.8625,104087,0,104087,237904.8625
chum,7,1962,391017.3655,259045,0,259045,650062.3655
chum,7,1963,264781.5208,214813,0,214813,479594.5208
chum,7,1964,351206.2392,294100,0,294100,645306.2392
chum,7,1965,136296.9669,58578,0,58578,194874.9669
chum,7,1966,706822.0649,289562,0,289562,996384.0649
chum,7,1967,313930.9703,84423,0,84423,398353.9703
chum,7,1968,562093.9726,374370,0,374370,936463.9726
chum,7,1969,361536.2061,195320,0,195320,556856.2061
chum,7,1970,576232.2296,806422,0,806422,1382654.23
chum,7,1971,362014.7343,294620,0,294620,656634.7343
chum,7,1972,436101.1097,635189,0,635189,1071290.11
chum,7,1973,641700.6315,1265014,0,1265014,1906714.631
chum,7,1974,397365.3238,552020,0,552020,949385.3238
chum,7,1975,177466.0473,163024,0,163024,340490.0473
chum,7,1976,159734.9056,149316,0,149316,309050.9056
chum,7,1977,199769.1167,76918,0,76918,276687.1167
chum,7,1978,405703.1528,334093,0,334093,739796.1528
chum,7,1979,259835.3532,216124,0,216124,475959.3532
chum,7,1980,146693.4638,412701,0,412701,559394.4638
chum,7,1981,226654.0528,205052,0,205052,431706.0528
chum,7,1982,311330.5665,256303,0,256303,567633.5665
chum,7,1983,175965.7571,22855,0,22855,198820.7571
chum,7,1984,218435.7634,220964,0,220964,439399.7634
chum,7,1985,262986.2083,249574,0,249574,512560.2083
chum,7,1986,243773.5306,337312,0,337312,581085.5306
chum,7,1987,185913.9686,212986,0,212986,398899.9686
chum,7,1988,337291.896,313883,0,313883,651174.896
chum,7,1989,266166.234,99193,0,99193,365359.234
chum,7,1990,248057.0606,214373,0,214373,462430.0606
chum,7,1991,292192.8108,140014,0,140014,432206.8108
chum,7,1992,89528.82953,50102,0,50102,139630.8295
chum,7,1993,185499.1024,99298,0,99298,284797.1024
chum,7,1994,217600.8891,191751,0,191751,409351.8891
chum,7,1995,401074.3247,202384,0,202384,603458.3247
chum,7,1996,423600.4512,64776,0,64776,488376.4512
chum,7,1997,365776.7225,55784,0,55784,421560.7225
chum,7,1998,583937.7197,99848,0,99848,683785.7197
chum,7,1999,368295.3739,84757,0,84757,453052.3739
chum,7,2000,307072.4911,34541,0,34541,341613.4911
chum,7,2001,433036.1089,149691,0,149691,582727.1089
chum,7,2002,377121.7206,189142,0,189142,566263.7206
chum,7,2003,543855.0475,265768,0,265768,809623.0475
chum,7,2004,493644.5445,346210,0,346210,839854.5445
chum,7,2005,342563.8957,68962,0,68962,411525.8957
chum,7,2006,281011.8018,23151,0,23151,304162.8018
